City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
571,Jining,CN,68.9,clear sky,35.405,116.5814,Yunhe Star Hotel
572,Agalatovo,RU,65.34,clear sky,60.2195,30.2739,Vacation Home in Kerro
573,Garissa,KE,78.4,few clouds,-0.4536,39.6401,Sharif Plaza Hotel
575,Mogadishu,SO,79.29,broken clouds,2.0371,45.3438,Hotel Juba
576,Nantucket,US,65.97,fog,41.2835,-70.0995,Jared Coffin House
581,Rio Grande,BR,72.95,few clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
583,Kokkola,FI,66.36,clear sky,63.8385,23.1307,Hotel Kokkola
584,Bras-Panon,RE,74.82,scattered clouds,-20.9967,55.6782,le meublé
588,Praia,CV,77.54,scattered clouds,14.9215,-23.5087,LT Aparthotel
589,Kendal,GB,61.77,clear sky,54.3268,-2.7476,Castle Green Hotel - managed by Legacy Hotels and Resort
593,Pachino,IT,72.59,clear sky,36.7186,15.0907,Pietra Bianca B&B
594,Newport,GB,64.33,broken clouds,51.5877,-2.9984,ibis budget Newport
597,Ozimek,PL,67.86,overcast clouds,50.6794,18.2137,Chata Myśliwska
599,Bardiyah,LY,70.74,clear sky,31.7561,25.0865,بورتو بردية
600,Sijunjung,ID,71.46,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
603,Aljezur,PT,62.51,clear sky,37.3191,-8.8033,Amazigh Hostel
605,Port Hedland,AU,68.05,light rain,-20.3167,118.5667,The Esplanade Hotel
606,Kapoeta,SS,78.53,few clouds,4.7717,33.5903,Eastgate Hotel
607,Aksu,CN,77.23,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
608,Denia,ES,72.86,clear sky,38.8408,0.1057,Hotel Port Denia
609,Finschhafen,PG,79.3,light rain,-6.6024,147.8681,Cossam Guest House
610,Pirmasens,DE,71.65,overcast clouds,49.2015,7.6053,Alt Pirmasens
612,Tabuk,PH,77.16,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
614,Mackenzie,CA,61.88,overcast clouds,55.2999,-123.1698,Hilton Shop
620,Coquimbo,CL,60.75,overcast clouds,-29.9533,-71.3436,Punto de encuentro
621,Markova,UA,60.39,clear sky,48.6758,24.4138,Kempinh
623,Lingao,CN,78.33,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
625,Hwange,ZW,60.04,clear sky,-18.3693,26.5019,Hwange Colliery Guest House
627,Luganville,VU,75.96,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
